model_name,model_path,model_type,tags,tasks,metadata
nllb-200-distilled-600M,facebook/nllb-200-distilled-600M,nllb,"[""machine translation"", ""nllb"", ""text translation"", ""document translation"", ""batch translation""]","[""mt""]","{""type"":""Dense"", ""params"":""600M"", ""arch"":""transformer_12_12"", ""gpu_stats"":{""memory_usage"":""3501MiB"", ""loading_time"":""~00:10.92 m"", ""inference_time"":{""sentence_length"":""132"",""time"":""~00:00.62 m""}}, ""cpu_stats"":{""memory_usage"":""4034MiB"", ""loading_time"":""~00:10.86 m"", ""inference_time"":{""sentence_length"":""132"",""time"":""~00:02.39 m""}}}"
nllb-200-distilled-1.3B,facebook/nllb-200-distilled-1.3B,nllb,"[""machine translation"", ""nllb"", ""text translation"", ""document translation"", ""batch translation""]","[""mt""]","{""type"":""Dense"", ""params"":""1.3B"", ""arch"":""transformer_24_24"", ""gpu_stats"":{""memory_usage"":""6403MiB"", ""loading_time"":""~00:14.81 m"", ""inference_time"":{""sentence_length"":""132"",""time"":""~00:00.84 m""}}, ""cpu_stats"":{""memory_usage"":""6722MiB"", ""loading_time"":""~00:12.98 m"", ""inference_time"":{""sentence_length"":""132"",""time"":""~00:04.47""}}}"
nllb-200-1.3B,facebook/nllb-200-1.3B,nllb,"[""machine translation"", ""nllb"", ""text translation"", ""document translation"", ""batch translation""]","[""mt""]","{""type"":""Dense"", ""params"":""1.3B"", ""arch"":""transformer_24_24"", ""gpu_stats"":{""memory_usage"":""6403MiB"", ""loading_time"":""~00:15.80 m"", ""inference_time"":{""sentence_length"":""132"",""time"":""~00:00.79 m""}}, ""cpu_stats"":{""memory_usage"":""6722MiB"", ""loading_time"":""~0:00:12.40 m"", ""inference_time"":{""sentence_length"":""132"",""time"":""~00:03.84 m""}}}"
nllb-200-3.3B,facebook/nllb-200-3.3B,nllb,"[""machine translation"", ""nllb"", ""text translation"", ""document translation"", ""batch translation""]","[""mt""]","{""type"":""Dense"", ""params"":""3.3B"", ""arch"":""transformer_24_24_big"", ""gpu_stats"":{""memory_usage"":""13945MiB"", ""loading_time"":""~00:34.96 m"", ""inference_time"":{""sentence_length"":""132"",""time"":""~00:00.82 m""}}, ""cpu_stats"":{""memory_usage"":""14660MiB"", ""loading_time"":""~00:32.50 m"", ""inference_time"":{""sentence_length"":""132"",""time"":""~00:10.37""}}}"
nllb-moe-54b,facebook/nllb-moe-54b,nllb,"[""machine translation"", ""nllb"", ""text translation"", ""document translation"", ""batch translation""]","[""mt""]","{""type"":""MoE-128"", ""params"":""54.5B"", ""arch"":""transformer_24_24_big"", ""gpu_stats"":{}, ""cpu_stats"":{}}"
bhadrawahi_short,"/mnt/lfs01/models/lm-kenlm/bhadrawahi/bhadrawahi_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""bhadrawahi"", ""dataset-size"":""short""}"
bilaspuri_short,"/mnt/lfs01/models/lm-kenlm/bilaspuri/bilaspuri_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""bilaspuri"", ""dataset-size"":""short""}"
dogri_short,"/mnt/lfs01/models/lm-kenlm/dogri/dogri_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""dogri"", ""dataset-size"":""short""}"
haryanvi_short,"/mnt/lfs01/models/lm-kenlm/haryanvi/haryanvi_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""haryanvi"", ""dataset-size"":""short""}"
hindi_short,"/mnt/lfs01/models/lm-kenlm/hindi/hindi_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""hindi"", ""dataset-size"":""short""}"
kangri_short,"/mnt/lfs01/models/lm-kenlm/kangri/kangri_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""kangri"", ""dataset-size"":""short""}"
kannada_short,"/mnt/lfs01/models/lm-kenlm/kannada/kannada_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""kannada"", ""dataset-size"":""short""}"
malayalam_short,/mnt/lfs01/models/lm-kenlm/malayalam/malayalam_short.arpa,lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""malayalam"", ""dataset-size"":""short""}"
mandeali_short,"/mnt/lfs01/models/lm-kenlm/mandeali/mandeali_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""mandeali"", ""dataset-size"":""short""}"
pahari_mahasui_short,"/mnt/lfs01/models/lm-kenlm/pahari_mahasui/pahari_mahasui_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""pahari_mahasui"", ""dataset-size"":""short""}"
tamil_short,"/mnt/lfs01/models/lm-kenlm/tamil/tamil_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""tamil"",""dataset-size"":""short""}"
telugu_short,"/mnt/lfs01/models/lm-kenlm/telugu/telugu_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""telugu"", ""dataset-size"":""short""}"
gaddi_short,"/mnt/lfs01/models/lm-kenlm/gaddi/gaddi_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""gaddi"", ""dataset-size"":""short""}"
kulvi_short,"/mnt/lfs01/models/lm-kenlm/kulvi/kulvi_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""kulvi"", ""dataset-size"":""short""}"
kulvi_outer_seraji_short,"/mnt/lfs01/models/lm-kenlm/kulvi_outer_seraji/kulvi_outer_seraji_short.arpa",lm,"[""language model"", ""lm""]","[""stt""]","{""language"":""kulvi_outer_seraji"", ""dataset-size"":""short""}"